,shipped: step30 / ref 300s,step10 / ref 120s,step10 / ref 300s,step30 / ref 150s,step10 / ref150 + 5seed + L2
wesad:S10,0.7564102564102564,0.923728813559322,0.75,0.9871794871794872,0.8983050847457628
wesad:S11,1.0,1.0,1.0,1.0,1.0
wesad:S13,1.0,0.9090909090909092,1.0,1.0,0.9848484848484849
wesad:S14,0.9318181818181819,0.9029850746268657,0.9104477611940298,0.9318181818181819,0.8880597014925373
wesad:S15,0.8461538461538461,0.7905982905982907,0.9102564102564102,0.782051282051282,0.7222222222222222
wesad:S16,1.0,1.0,1.0,1.0,1.0
wesad:S17,0.9230769230769231,0.9652777777777778,0.9194915254237288,0.8958333333333333,0.9375
wesad:S2,0.8571428571428572,0.8360655737704918,0.8114754098360656,0.6904761904761905,0.7825374198146828
wesad:S3,0.5,0.5,0.5,0.5227272727272727,0.5703125
wesad:S4,1.0,1.0,1.0,1.0,1.0
wesad:S5,1.0,0.9791666666666667,0.9609375,1.0,1.0
wesad:S6,1.0,1.0,1.0,1.0,1.0
wesad:S7,0.9523809523809523,0.953125,0.640625,1.0,0.9453125
wesad:S8,1.0,1.0,1.0,1.0,1.0
wesad:S9,1.0,1.0,1.0,1.0,1.0
